City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,chimbote,-9.0853,-78.5783,20.03,80,89,1.55,PE,1674026513
322,lethem,3.3803,-59.7968,23.01,83,100,3.31,GY,1674026513
323,santa rosa,14.3122,121.1114,28.9,78,100,6.45,PH,1674026231
324,manzanillo,20.3433,-77.1167,17.7,80,0,1.7,CU,1674026513
325,kaeo,-35.1,173.7833,18.2,83,88,0.93,NZ,1674026514
326,upernavik,72.7868,-56.1549,-24.17,94,100,2.87,GL,1674026514
327,puerto rondon,6.2805,-71.1,22.97,72,74,2.44,CO,1674026514
328,verkhnyaya inta,65.9811,60.3094,-8.52,88,99,8.55,RU,1674026514
329,neveklov,49.7537,14.5329,0.68,97,100,1.56,CZ,1674026515
330,dingle,10.9995,122.6711,27.89,82,100,4.93,PH,1674026515
331,suba,10.8438,121.0102,26.76,86,100,7.42,PH,1674026515
332,sicuani,-14.2694,-71.2261,7.41,85,100,0.83,PE,1674026515
333,garden city,42.3256,-83.331,4.94,86,100,7.2,US,1674026515
334,panormos,35.4182,24.6909,17.23,73,71,5.08,GR,1674026516
335,toktogul,41.8708,72.9402,-6.81,59,0,0.62,KG,1674026516
336,kokopo,-4.352,152.2633,28.02,73,100,6.03,PG,1674026516
337,yerofey pavlovich,53.9667,121.9667,-27.31,90,100,2.16,RU,1674026516
338,chase,50.8165,-119.6857,3.49,98,99,1.63,CA,1674026517
339,mogadishu,2.0371,45.3438,27.93,74,40,7.72,SO,1674026517
340,te anau,-45.4167,167.7167,19.29,65,100,2.23,NZ,1674026517
341,abu dhabi,24.4667,54.3667,23.06,58,40,6.69,AE,1674025937
342,camopi,3.1655,-52.3158,21.08,99,100,0.94,GF,1674026518
343,junin,-34.5838,-60.9433,22.16,75,100,5.53,AR,1674026518
344,buritis,-15.6178,-46.4233,19.02,94,5,0.93,BR,1674026518
345,semnan,35.5729,53.3971,6.24,41,0,1.06,IR,1674026519
346,korla,41.7597,86.1469,-9.64,72,5,2.44,CN,1674026493
347,tigre,-34.426,-58.5796,24.08,74,0,5.14,AR,1674026272
348,vila velha,-20.3297,-40.2925,23.3,97,75,1.54,BR,1674026519
349,bengkulu,-3.8004,102.2655,28.02,71,100,4.05,ID,1674026035
350,grants pass,42.439,-123.3284,4.73,93,75,0.0,US,1674026520
351,honiara,-9.4333,159.95,25.33,92,100,2.87,SB,1674026378
